"ReceivedAt","AttachmentIndex","FileName","Airline","Profile","PermitNumber","Status","Error"
"03/08/2026 17:59:52","140","OF 5428 KMI001.docx","8K/KMI - KMI","kmi-english-overflight-issued","O/F 08140/S/CHK/2026","CÁCH LY","PERMIT-REVISION-REVIEW: Phép bay O/F 08140/S/CHK/2026 cần người vận hành kiểm tra nên không được tự động ghi vào ATFM."
"03/08/2026 17:59:52","141","OF 5430 QQE.docx","POS - mã ICAO trích từ lỗi đối chiếu ATFM","caav-generic-overflight-issued","O/F 08142/S/CHK/2026","CÁCH LY","BR-ATFM-REFERENCE: Không tìm thấy dữ liệu đối chiếu trong ATFM: M_OPER.OPER_ICAO=POS."
"03/08/2026 17:59:52","142","OF 5429 APG.docx","Z2/APG - APG","apg-english-overflight-issued","O/F 08141/S/CHK/2026","CÁCH LY","PERMIT-REVISION-REVIEW: Phép bay O/F 08141/S/CHK/2026 cần người vận hành kiểm tra nên không được tự động ghi vào ATFM."
"03/08/2026 17:59:52","143","OF 5433 GTI.docx","5Y/GTI - GTI","gti-english-overflight-issued","(chưa lấy được)","CÁCH LY","BR-AIRCRAFT-NOT-FOUND: Dòng lịch bay 1 có loại tàu bay không được hỗ trợ: B747F OR SUB (đã thử: B747F, SUB; tổng cộng 2 lỗi nhận diện tàu bay)."
"03/08/2026 17:59:52","144","OF 5434 GTI.docx","5Y/GTI - GTI","gti-english-overflight-issued","(chưa lấy được)","CÁCH LY","BR-ATFM-REFERENCE: Có nhiều đường bay ATFM phù hợp, không thể tự chọn: in M_VIA for RKSI -> WSSS, OPER=GTI: N892/A1/Q1/L644/L642/R474/N639/M755/M753, N892, N892/M765/L642/A1/Q1/L644, N892/L642, L642, N892/A1/Q1/L644/L642, N892/A1/Q1/L644/L642/R474/N639."
"03/08/2026 17:59:52","145","OF 5435 GTI.docx","5Y/GTI - GTI","gti-english-overflight-issued","O/F 08145/S/CHK/2026","CÁCH LY","PERMIT-REVISION-REVIEW: Phép bay O/F 08145/S/CHK/2026 cần người vận hành kiểm tra nên không được tự động ghi vào ATFM."
"03/08/2026 17:59:52","146","OF 5438 IGT.docx","GH/IGT - IGT","igt-english-overflight-scheduled","O/F 08147/S/CHK/2026","CÁCH LY","PERMIT-REVISION-REVIEW: Phép bay O/F 08147/S/CHK/2026 cần người vận hành kiểm tra nên không được tự động ghi vào ATFM."
"03/08/2026 17:59:52","147","OF 5436 VJT.docx","VJT - VISTAJET LIMITED","vjt-inline-overflight-issued","O/F 08146/S/CHK/2026","CÁCH LY","BR-ATFM-REFERENCE: Không tìm thấy dữ liệu đối chiếu trong ATFM: M_OPER.OPER_ICAO=POS."
"03/08/2026 17:59:52","148","OF 5441 TCJ02.docx","Chưa xác định hãng/không phải giấy phép","caav-generic-overflight-issued","(chưa lấy được)","THẤT BẠI","Không xác định được mã ICAO của hãng bay từ lịch bay."
"03/08/2026 17:59:52","149","OF 5442 N363JG.docx","Chưa xác định hãng/không phải giấy phép","caav-generic-overflight-issued","(chưa lấy được)","THẤT BẠI","Không xác định được mã ICAO của hãng bay từ lịch bay."
"03/08/2026 17:59:52","150","OF 5443 N6FE.docx","Chưa xác định hãng/không phải giấy phép","caav-generic-overflight-issued","(chưa lấy được)","THẤT BẠI","Không xác định được mã ICAO của hãng bay từ lịch bay."
"03/08/2026 17:59:52","151","OF 5446 B8309.docx","PRV - Amber Overflight Issued","prv-amber-overflight-issued","(chưa lấy được)","THẤT BẠI","Không xác định được mã ICAO của hãng bay từ lịch bay."
"03/08/2026 17:59:52","152","OF 5447 ADZ9087.docx","HQ/ADZ - ADZ","adz-english-overflight-issued","O/F 08152/S/CHK/2026","CÁCH LY","PERMIT-REVISION-REVIEW: Phép bay O/F 08152/S/CHK/2026 cần người vận hành kiểm tra nên không được tự động ghi vào ATFM."
