"CorpusFile","Id","SyncJobId","OriginalName","OriginalPath","OriginalError","Checksum"
"4369_OF_5488_VPCNP.docx","4369","1856","OF 5488 VPCNP.docx","E:\ATFM-AEROSYNC\VATM-AeroSync\NGAY 31JUL_RENUMBERED_UNUSED_20260803\OF 5488 VPCNP.docx","Không tìm thấy format YAML phù hợp. Các format gần nhất: caav-english-overflight-scheduled=0.53, caav-english-overflight-revision=0.05, caav-english-issued-permit-revision=0.00","6aee149661b14270878e882a776dba2c81bd6fb0e67fb370f9bfe7ce7147bab3"
"4366_OF_5485_N65WL.docx","4366","1853","OF 5485 N65WL.docx","E:\ATFM-AEROSYNC\VATM-AeroSync\NGAY 31JUL_RENUMBERED_UNUSED_20260803\OF 5485 N65WL.docx","PERMIT-REVISION-REVIEW: Phép bay O/F 08166/S/CHK/2026 cần người vận hành kiểm tra nên không được tự động ghi vào ATFM.","7d12050c777a012fd8520928bfe517f7c83f69d70fcf760fac6cfb1d58475b99"
"4365_OF_5484_N212DD.docx","4365","1852","OF 5484 N212DD.docx","E:\ATFM-AEROSYNC\VATM-AeroSync\NGAY 31JUL_RENUMBERED_UNUSED_20260803\OF 5484 N212DD.docx","Không tìm thấy format YAML phù hợp. Các format gần nhất: caav-english-overflight-scheduled=0.53, caav-english-overflight-revision=0.05, caav-english-issued-permit-revision=0.00","9f003238b54536d50b5609811daed652c2689c1be582385ca543c712ab98ef13"
"4364_OF_5483_HGO.docx","4364","1851","OF 5483 HGO.docx","E:\ATFM-AEROSYNC\VATM-AeroSync\NGAY 31JUL_RENUMBERED_UNUSED_20260803\OF 5483 HGO.docx","Không tìm thấy format YAML phù hợp. Các format gần nhất: caav-english-overflight-scheduled=0.60, caav-english-overflight-revision=0.05, caav-english-issued-permit-revision=0.00","8f8a557cabcef9561ee73fe4ac15a44baf627553ba444bc9f98e4bbf6b0c8097"
"4363_OF_5481_VJT.docx","4363","1850","OF 5481 VJT.docx","E:\ATFM-AEROSYNC\VATM-AeroSync\NGAY 31JUL_RENUMBERED_UNUSED_20260803\OF 5481 VJT.docx","BR-ATFM-REFERENCE: Có nhiều đường bay ATFM phù hợp, không thể tự chọn: in M_VIA for WSSL -> VDTI, OPER=POS: L642/M753/M755, M753/M755.","249d1aafdc04e1423db8043c4fe03d87f55ff5242a202e8327581c46a46a546f"
"4362_OF_5481_VJT_COR.docx","4362","1849","OF 5481 VJT COR.docx","E:\ATFM-AEROSYNC\VATM-AeroSync\NGAY 31JUL_RENUMBERED_UNUSED_20260803\OF 5481 VJT COR.docx","BR-ATFM-REFERENCE: Có nhiều đường bay ATFM phù hợp, không thể tự chọn: in M_VIA for WSSL -> VDTI, OPER=POS: L642/M753/M755, M753/M755.","537048c4473e92849336d1b14f47e0190e5ae7803f22df4288af9a7b53636198"
"4361_OF_5482_N779LG.docx","4361","1848","OF 5482 N779LG.docx","E:\ATFM-AEROSYNC\VATM-AeroSync\NGAY 31JUL_RENUMBERED_UNUSED_20260803\OF 5482 N779LG.docx","Không tìm thấy format YAML phù hợp. Các format gần nhất: caav-english-overflight-scheduled=0.47, caav-english-issued-permit-revision=0.00, caav-english-landing-revision=0.00","3748de54a5d311063d8749f6432c7d754e7583b75f3724024cd24846780e8d6f"
"4360_OF_5480_VJT.docx","4360","1847","OF 5480 VJT.docx","E:\ATFM-AEROSYNC\VATM-AeroSync\NGAY 31JUL_RENUMBERED_UNUSED_20260803\OF 5480 VJT.docx","BR-ATFM-REFERENCE: Không tìm thấy dữ liệu đối chiếu trong ATFM: M_OPER.OPER_ICAO=POS.","fa49f53ca5e33849b48766aa5433189a4ef7a326312c5d7d913db8c468cfedbc"
"4359_OF_5479_VQBOY.docx","4359","1846","OF 5479 VQBOY.docx","E:\ATFM-AEROSYNC\VATM-AeroSync\NGAY 31JUL_RENUMBERED_UNUSED_20260803\OF 5479 VQBOY.docx","PERMIT-REVISION-REVIEW: Phép bay O/F 08159/S/CHK/2026 cần người vận hành kiểm tra nên không được tự động ghi vào ATFM.","58f4eea313726223b01a4eaa5750d584eb0e09812bbe12f54e97367d066edc8d"
"4358_OF_5477_N369WW.docx","4358","1845","OF 5477 N369WW.docx","E:\ATFM-AEROSYNC\VATM-AeroSync\NGAY 31JUL_RENUMBERED_UNUSED_20260803\OF 5477 N369WW.docx","Không tìm thấy format YAML phù hợp. Các format gần nhất: caav-english-overflight-scheduled=0.53, caav-english-overflight-revision=0.05, caav-english-issued-permit-revision=0.00","c94fcdcce09bfd22f5db8799c12990051ae236a2cfc39f05862d3cbe8b10266a"
"4357_OF_5478_ABD.docx","4357","1844","OF 5478 ABD.docx","E:\ATFM-AEROSYNC\VATM-AeroSync\NGAY 31JUL_RENUMBERED_UNUSED_20260803\OF 5478 ABD.docx","PERMIT-REVISION-REVIEW: Phép bay O/F 08158/S/CHK/2026 cần người vận hành kiểm tra nên không được tự động ghi vào ATFM.","43247abc788857637d30566d4b4a7141dc050e3de0fab8c62d9bf35c9203bf34"
"4356_OF_5454_MEDIC77.docx","4356","1843","OF 5454 MEDIC77.docx","E:\ATFM-AEROSYNC\VATM-AeroSync\NGAY 31JUL_RENUMBERED_UNUSED_20260803\OF 5454 MEDIC77.docx","Không xác định được mã ICAO của hãng bay từ lịch bay.","e85aa4e215f0f67afcd42864f4186adc0e4e1eb1afdce3963d4f875b07674ef2"
